1780029087,194.99,625.68,28006
1780029088,174.83,143.78,828
1780029089,165.13,121.00,722
1780029090,322.67,256.61,2378
1780029091,177.32,137.72,960
1780029092,220.81,179.13,1739
1780029093,265.77,273.11,4670
1780029094,353.62,878.64,30893
1780029095,1243.30,2228.93,32657
1780029096,832.20,1028.19,12056
1780029097,423.68,419.12,5756
1780029098,362.30,357.29,4019
1780029099,931.03,1287.17,18910
1780029100,342.40,361.25,4518
1780029101,236.87,197.74,2009
1780029102,619.28,846.43,6647
1780029103,266.22,228.13,1684
1780029104,269.34,238.33,2721
1780029105,206.01,161.78,1124
1780029106,167.86,149.34,4549
1780029107,683.32,2410.37,32731
1780029108,377.64,1043.28,30408
1780029109,429.17,657.48,13455
1780029110,208.82,171.52,2057
1780029111,235.34,185.49,1586
1780029112,285.43,245.87,2011
1780029113,239.89,196.89,1408
1780029114,235.93,189.56,1833
1780029115,227.27,186.10,2200
1780029116,190.13,152.42,1507
1780029117,171.74,131.55,779
1780029118,195.46,149.09,897
1780029119,172.34,124.73,806
1780029120,165.99,122.01,786
1780029121,181.23,139.51,852
1780029122,173.15,124.08,957
1780029123,181.65,140.53,875
1780029124,145.43,113.25,711
1780029125,195.35,168.77,1188
1780029126,149.56,130.69,878
1780029127,138.61,103.83,599
1780029128,118.78,104.95,774
1780029129,128.70,103.12,598
1780029130,144.88,111.38,614
1780029131,155.71,112.09,615
1780029132,147.89,112.20,830
1780029133,419.14,607.82,3846
1780029134,164.11,128.26,896
1780029135,181.67,201.51,1928
1780029136,495.17,659.65,4368
1780029137,191.29,147.67,798
1780029138,158.64,114.65,654
1780029139,364.81,253.45,1238
1780029140,235.82,196.81,1233
1780029141,203.69,158.99,1005
1780029142,188.18,141.83,845
1780029143,156.58,120.37,694
1780029144,157.17,124.50,826
1780029145,157.19,123.47,814
1780029146,217.09,162.61,793
1780029147,171.51,119.40,698
1780029148,200.93,153.20,889
1780029149,298.10,218.21,1475
1780029150,285.37,231.13,1802
1780029151,255.29,194.01,1147
1780029152,339.56,290.53,1647
1780029153,356.12,361.41,2300
1780029154,207.22,147.83,699
1780029155,227.78,167.66,1132
1780029156,161.06,119.88,695
1780029157,385.18,509.21,5841
1780029158,180.18,127.78,693
1780029159,144.92,104.24,546
1780029160,144.09,106.38,672
1780029161,155.21,108.69,531
1780029162,170.49,122.21,620
1780029163,192.00,157.63,1424
1780029164,205.46,153.12,813
1780029165,141.20,105.54,521
1780029166,155.63,113.92,633
1780029167,153.59,108.32,601
1780029168,140.36,103.35,611
1780029169,189.39,139.37,798
1780029170,160.12,123.61,965
1780029171,146.78,111.64,756
1780029172,161.62,115.46,823
1780029173,295.11,429.40,3481
1780029174,182.93,147.17,1769
1780029175,186.28,154.20,882
1780029176,354.46,292.45,1520
1780029177,1309.86,1150.21,5117
1780029178,254.38,211.23,1519
1780029179,187.38,144.44,904
1780029180,164.47,122.29,819
1780029181,173.01,130.58,786
1780029182,444.45,298.38,1549
1780029183,432.30,346.28,1570
1780029184,194.65,141.19,880
1780029185,196.16,168.85,1016
1780029186,174.81,144.94,747
1780029187,403.19,369.97,2104
1780029188,293.13,252.39,1708
1780029189,259.85,196.73,1071
1780029190,168.42,123.92,812
1780029191,174.09,123.04,602
1780029192,194.52,141.33,812
1780029193,199.54,143.68,741
1780029194,148.45,113.13,644
1780029195,188.74,130.76,696
1780029196,125.53,100.49,568
1780029197,152.50,107.07,585
1780029198,134.27,104.87,645
1780029199,156.35,114.41,623
1780029200,158.20,117.79,647
1780029201,192.52,142.71,938
1780029202,153.69,112.48,708
1780029203,146.85,108.64,691
1780029204,145.24,116.97,673
1780029205,142.40,122.22,889
1780029206,153.69,113.07,601
1780029207,162.39,128.71,788
1780029208,153.80,118.11,871
1780029209,143.07,104.90,610
1780029210,138.80,96.00,467
1780029211,124.13,104.12,807
1780029212,141.47,103.92,631
1780029213,145.19,103.22,608
1780029214,152.28,104.51,537
1780029215,156.96,115.34,598
1780029216,140.65,102.53,571
1780029217,152.17,116.85,664
1780029218,142.75,119.78,657
1780029219,179.83,135.14,705
1780029220,179.12,144.03,807
1780029221,166.37,115.68,605
1780029222,218.28,152.62,758
1780029223,193.10,152.97,910
1780029224,159.58,123.88,882
1780029225,152.62,121.13,703
1780029226,165.59,142.62,1085
1780029227,293.53,212.04,1178
1780029228,203.38,161.27,933
1780029229,299.21,254.41,1236
1780029230,169.13,136.54,712
1780029231,165.96,123.36,653
1780029232,156.38,122.63,765
1780029233,158.47,116.40,749
1780029234,4353.06,5220.99,22594
1780029235,873.20,763.34,4317
1780029236,157.09,126.13,750
1780029237,149.95,110.62,637
1780029238,127.78,98.80,630
1780029239,144.04,106.70,646
1780029240,132.69,98.98,575
1780029241,145.08,108.19,538
1780029242,122.56,91.67,535
1780029243,149.53,109.91,580
1780029244,116.42,87.26,509
1780029245,134.84,106.71,715
1780029246,136.91,97.40,584
1780029247,130.55,99.40,533
1780029248,158.88,116.84,647
1780029249,144.62,114.41,678
1780029250,131.39,101.82,625
1780029251,164.95,122.84,641
1780029252,132.51,98.55,536
1780029253,148.82,109.02,602
1780029254,140.18,101.88,693
1780029255,144.04,107.04,561
1780029256,147.91,116.55,743
1780029257,164.10,132.97,1564
1780029258,166.08,124.65,660
1780029259,135.00,98.15,626
1780029260,118.45,88.20,534
1780029261,137.94,107.95,555
1780029262,141.37,102.53,566
1780029263,143.50,111.12,737
1780029264,141.16,110.71,719
1780029265,144.00,100.80,620
1780029266,149.15,120.43,911
1780029267,129.54,99.12,592
1780029268,120.38,90.41,519
1780029269,147.11,106.58,582
1780029270,128.10,97.51,560
1780029271,142.56,109.67,679
1780029272,126.03,92.11,591
1780029273,154.37,119.97,726
1780029274,160.83,130.63,876
1780029275,153.91,107.69,677
1780029276,141.26,105.20,642
1780029277,138.21,102.66,524
1780029278,162.83,125.61,908
1780029279,170.99,154.91,1598
1780029280,199.72,165.08,1321
1780029281,160.35,114.58,670
1780029282,213.31,143.95,727
1780029283,180.35,134.00,852
1780029284,217.09,219.28,2030
1780029285,149.76,118.75,729
1780029286,162.99,123.84,778
1780029287,176.63,138.74,1022
1780029288,191.68,145.95,799
1780029289,163.61,132.98,916
1780029290,186.01,141.44,972
1780029291,180.14,135.98,772
1780029292,166.23,125.16,693
1780029293,175.47,128.18,823
1780029294,189.73,141.28,783
1780029295,174.45,123.88,724
1780029296,157.23,117.61,617
1780029297,150.51,110.37,618
1780029298,158.58,115.21,716
1780029299,157.77,126.96,737
1780029300,163.79,137.14,782
1780029301,152.22,107.34,550
1780029302,177.56,123.12,689
1780029303,162.04,120.00,679
1780029304,137.45,106.99,662
1780029305,130.36,98.45,588
1780029306,151.95,116.52,767
1780029307,147.73,114.36,544
1780029308,144.53,106.81,696
1780029309,132.16,101.61,548
1780029310,153.73,115.87,608
1780029311,153.60,119.58,638
1780029312,192.66,163.95,1047
1780029313,148.31,110.95,631
1780029314,143.38,107.61,621
1780029315,142.89,100.84,640
1780029316,145.93,110.77,666
1780029317,157.74,113.72,558
1780029318,155.05,116.47,658
1780029319,135.28,96.38,469
1780029320,143.08,103.85,598
1780029321,143.91,110.08,642
1780029322,156.64,114.13,678
1780029323,145.06,103.42,639
1780029324,151.73,112.29,605
1780029325,148.08,111.16,715
1780029326,133.80,106.59,670
1780029327,133.94,97.44,584
1780029328,122.85,92.64,554
1780029329,142.51,101.49,556
1780029330,131.16,96.98,621
1780029331,126.51,95.24,596
1780029332,131.68,101.83,612
1780029333,120.85,89.31,501
1780029334,137.58,99.94,652
1780029335,130.91,95.64,575
1780029336,117.90,85.59,484
1780029337,132.19,99.29,531
1780029338,126.81,92.41,522
1780029339,132.73,104.33,670
1780029340,117.93,89.49,512
1780029341,120.54,87.03,512
1780029342,126.85,98.95,573
1780029343,113.99,83.57,528
1780029344,123.31,94.05,658
1780029345,127.86,90.30,501
1780029346,129.85,93.94,535
1780029347,150.96,104.35,620
1780029348,142.70,104.23,663
1780029349,140.08,104.35,866
1780029350,146.61,106.63,594
1780029351,135.16,100.41,680
1780029352,131.07,99.47,618
1780029353,122.08,95.73,573
1780029354,127.71,98.07,561
1780029355,126.81,93.89,602
1780029356,176.92,153.05,998
1780029357,140.06,105.98,669
1780029358,136.43,103.79,615
1780029359,137.10,108.05,757
1780029360,125.46,92.21,509
1780029361,130.12,99.10,619
1780029362,125.68,95.01,621
1780029363,124.75,97.12,579
1780029364,126.24,100.37,620
1780029365,121.41,90.53,608
1780029366,128.38,98.03,583
1780029367,109.98,84.92,534
1780029368,119.04,92.26,585
1780029369,135.70,107.83,612
1780029370,133.58,99.70,608
1780029371,145.60,112.02,711
1780029372,140.15,104.88,645
1780029373,149.78,110.87,738
1780029374,135.91,94.48,555
1780029375,121.75,89.96,596
1780029376,158.03,113.49,722
1780029377,118.26,86.56,487
1780029378,139.87,108.46,702
1780029379,147.46,110.02,759
1780029380,117.17,87.94,557
1780029381,122.92,95.83,579
1780029382,136.47,99.14,573
1780029383,139.22,105.60,578
1780029384,141.27,105.60,686
1780029385,146.48,118.11,770
1780029386,132.01,96.77,544
1780029387,133.21,100.74,585
1780029388,130.17,99.45,630
1780029389,146.94,112.68,917
1780029390,132.73,99.31,852
1780029391,123.57,102.88,684
1780029392,123.35,90.85,524
1780029393,142.68,104.28,720
1780029394,133.95,107.98,715
1780029395,145.19,108.96,885
1780029396,152.25,111.15,597
1780029397,229.82,183.43,1048
1780029398,165.88,127.95,695
1780029399,175.73,128.70,767
1780029400,176.82,131.42,750
1780029401,136.30,102.95,665
1780029402,130.08,95.82,539
1780029403,121.91,92.71,741
1780029404,149.35,107.11,752
1780029405,138.49,103.17,786
1780029406,156.83,114.45,723
1780029407,144.32,111.98,787
1780029408,147.85,112.06,659
1780029409,142.64,110.04,636
1780029410,150.24,115.69,669
1780029411,136.60,106.62,622
